State,Total_Loan_Applications,Total_Funded_Amount,Total_Amount_Received
AK,70,896100,973103
AL,408,4618950,5146889
AR,226,2415675,2684895
AZ,791,8674125,9433742
CA,6485,73501900,78878894
CO,737,8536550,9422614
CT,692,7939175,8823634
DC,198,2507700,2760578
DE,101,1017650,1152999
FL,2610,28088400,29662072
GA,1284,14634450,15864071
HI,159,1739550,1981297
IA,5,56450,64482
ID,6,59750,65329
IL,1392,15980250,17668687
IN,8,81125,79742
KS,242,2632850,2999836
KY,307,3336775,3608996
LA,400,4280775,4768665
MA,1235,14222600,15776157
MD,973,11379575,12389177
ME,3,9200,10808
MI,652,7518125,8198061
MN,570,6081150,6513215
MO,630,6806975,7379932
MS,17,132925,144048
MT,72,735700,820652
NC,709,8085675,8813929
NE,5,31700,24542
NH,156,1883500,2062743
NJ,1704,20079125,21751037
NM,177,1816275,2001933
NV,456,4954625,5090059
NY,3473,39351225,43138815
OH,1114,12055425,13355876
OK,275,3119825,3422864
OR,414,4415025,4665197
PA,1408,15018150,16614112
RI,188,1814825,1929410
SC,441,4806175,5147720
SD,59,559050,612174
TN,16,134175,111887
TX,2507,29238575,32274783
UT,234,2623125,2767736
VA,1293,15080750,16861099
VT,54,504100,534973
WA,765,8424825,9063490
WI,421,4699400,5160140
WV,161,1759725,1903453
WY,77,871000,1022052
